ID	103post	103pre	104post	104pre	107post	107pre	109post	109pre	111post	111pre	116post	116pre	118post	118pre	119post	119pre	123post	123pre	124post	124pre	127post	127pre	130post	130pre	133post	133pre	138post	138pre	139post	139pre	140post	140pre
8b7cd55d5449f3c0aa282f514ca5995b	12	0	44	5	74	0	56	6	0	0	0	0	0	9	0	0	9	0	0	0	11	21	23	19	0	0	19	0	34	0	20	42
ed8e1240eb554ecf417abfbb4dd0b542	11	0	26	0	22	0	13	0	14	5	68	0	0	0	10	0	0	40	0	0	0	5	0	0	133	76	0	0	26	0	0	0
c0ded757054b102cc0c618885868378f	0	0	49	44	0	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
df1ce85ab323b711ebe3aaee27b258ae	0	0	0	0	44	24	0	0	0	0	38	0	30	0	0	0	0	35	0	0	8	0	0	0	0	0	0	0	0	0	30	19
ce9971dffb3ebc93e8d44e62e3c50e14	101	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	124	0	0	0	0	0	0	0	0	0	0	74	105
368a4fb93cc88e2ed88623deaa5b46b8	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	27	0	0
c15fa5c264d2420ced7f417314f350ab	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
d01e3f750fadfac2642cfc6c9233d021	0	0	20	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
a04a11b72b931e796ed97a673ee3b8f7	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	7	487	17	0	0	0	0	0	0	0	0	0
fe4c45af45a1ced6777398479ca5025b	0	0	0	43	0	0	83	67	15	0	0	22	48	9	30	14	0	0	0	0	22	0	0	0	0	0	22	8	0	0	0	26
0d4308a6c5651f024209d99da9d092f5	0	0	0	0	0	0	0	0	0	26	0	0	0	288	0	143	72	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
068882782bc1bcc841a6058533ef2040	0	0	0	0	69	122	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	77
d173e3eb5ae43069f02e699f35d72238	0	3	39	34	10	9	0	0	4	4	0	4	58	31	0	0	25	0	0	0	0	0	32	32	0	0	16	14	36	14	10	25
d779a3b2fa3b175317dfe3591225354a	23	0	0	0	40	32	22	0	76	9	0	9	7	16	0	19	0	0	26	10	0	0	64	19	0	0	18	22	46	7	0	0
e9c1d1a4a254dbd823b736a6d7f5079a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	127	0	0
08be7ee7e2c933c064e9d7586f7c00aa	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	48	0	0	6	0	0	4	0	10	13	0	30	5	15	10
32ad00db5700d0a04654a84eed1b4c76	14	0	11	0	0	0	0	0	14	16	0	11	0	0	21	13	0	0	24	37	0	0	3	9	0	0	16	11	11	0	0	0
ed93c7b4d801fcb9f9f0c4c32624fa8f	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1c7f6704d2656cd97c59fe332c421d36	0	0	0	0	69	0	24	0	49	0	0	0	0	0	0	5	0	0	9	6	14	18	0	0	0	0	0	0	54	0	19	33
0c443b081fb69d6f88d60364eac4d5d3	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	43	241	0	0	0	0	0	0
433a0d1e9a59e345f87b857efbd6c62f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
